,name,hashes,best_hashes,lineage
0,Bacteria;Proteobacteria;Betaproteobacteria,21970000,9323000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'))"
1,Bacteria;Firmicutes;Clostridia,13897000,3655000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'))"
2,Bacteria;Bacteroidetes;Bacteroidia,13378000,6323000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Bacteroidetes'), LineagePair(rank='class', name='Bacteroidia'))"
3,Bacteria;Chlorobi;Chlorobia,12742000,2963000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'), LineagePair(rank='class', name='Chlorobia'))"
4,Bacteria;Proteobacteria;Alphaproteobacteria,12470000,4534000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Alphaproteobacteria'))"
5,Bacteria;Chloroflexi;Chloroflexia,11657000,6604000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chloroflexi'), LineagePair(rank='class', name='Chloroflexia'))"
6,Bacteria;Actinobacteria;Actinobacteria,10445000,5638000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Actinobacteria'), LineagePair(rank='class', name='Actinobacteria'))"
7,Archaea;Crenarchaeota;Thermoprotei,10346000,2679000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'), LineagePair(rank='class', name='Thermoprotei'))"
8,Bacteria;Proteobacteria;Deltaproteobacteria,10229000,3775000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Deltaproteobacteria'))"
9,Bacteria;Proteobacteria;Gammaproteobacteria,8158000,5188000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Gammaproteobacteria'))"
10,Bacteria;Cyanobacteria;,7483000,7288000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Cyanobacteria'), LineagePair(rank='class', name=''))"
11,Bacteria;Planctomycetes;Planctomycetia,7039000,7039000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Planctomycetes'), LineagePair(rank='class', name='Planctomycetia'))"
12,Bacteria;Aquificae;Aquificae,6487000,1997000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'), LineagePair(rank='class', name='Aquificae'))"
13,Archaea;Euryarchaeota;Methanomicrobia,5422000,5422000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanomicrobia'))"
14,Bacteria;Deinococcus-Thermus;Deinococci,5334000,3206000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Deinococcus-Thermus'), LineagePair(rank='class', name='Deinococci'))"
15,Archaea;Euryarchaeota;Methanococci,4967000,1775000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanococci'))"
16,Bacteria;Gemmatimonadetes;Gemmatimonadetes,4629000,4629000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Gemmatimonadetes'), LineagePair(rank='class', name='Gemmatimonadetes'))"
17,Bacteria;Thermotogae;Thermotogae,4257000,1851000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Thermotogae'), LineagePair(rank='class', name='Thermotogae'))"
18,Bacteria;Acidobacteria;Acidobacteriia,4167000,4167000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Acidobacteria'), LineagePair(rank='class', name='Acidobacteriia'))"
19,Archaea;Euryarchaeota;Halobacteria,3934000,3934000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Halobacteria'))"
20,Archaea;Euryarchaeota;Thermococci,3578000,1837000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Thermococci'))"
21,Bacteria;Firmicutes;Bacilli,3461000,2688000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Bacilli'))"
22,Bacteria;Spirochaetes;Spirochaetia,2848000,2848000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Spirochaetes'), LineagePair(rank='class', name='Spirochaetia'))"
23,Bacteria;Verrucomicrobia;Verrucomicrobiae,2701000,2701000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Verrucomicrobia'), LineagePair(rank='class', name='Verrucomicrobiae'))"
24,Bacteria;Fusobacteria;Fusobacteriia,2463000,2463000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Fusobacteria'), LineagePair(rank='class', name='Fusobacteriia'))"
25,Archaea;Euryarchaeota;Archaeoglobi,2139000,2139000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Archaeoglobi'))"
26,Bacteria;Proteobacteria;Epsilonproteobacteria,2030000,2030000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Epsilonproteobacteria'))"
27,Bacteria;Dictyoglomi;Dictyoglomia,1839000,1839000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Dictyoglomi'), LineagePair(rank='class', name='Dictyoglomia'))"
28,Archaea;Euryarchaeota;Methanopyri,1631000,1631000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanopyri'))"
29,Archaea;Euryarchaeota;,1477000,1477000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name=''))"
30,Archaea;Nanoarchaeota;,431000,431000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Nanoarchaeota'), LineagePair(rank='class', name=''))"
