,name,hashes,best_hashes,lineage
0,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae,12742000,2963000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'), LineagePair(rank='class', name='Chlorobia'), LineagePair(rank='order', name='Chlorobiales'), LineagePair(rank='family', name='Chlorobiaceae'))"
1,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae,11269000,6323000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Bacteroidetes'), LineagePair(rank='class', name='Bacteroidia'), LineagePair(rank='order', name='Bacteroidales'), LineagePair(rank='family', name='Bacteroidaceae'))"
2,Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae,10445000,5638000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Actinobacteria'), LineagePair(rank='class', name='Actinobacteria'), LineagePair(rank='order', name='Micromonosporales'), LineagePair(rank='family', name='Micromonosporaceae'))"
3,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,10340000,4534000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Alphaproteobacteria'), LineagePair(rank='order', name='Rhodobacterales'), LineagePair(rank='family', name='Rhodobacteraceae'))"
4,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,9323000,9323000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Burkholderiales'), LineagePair(rank='family', name='Burkholderiaceae'))"
5,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae,7828000,5188000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Gammaproteobacteria'), LineagePair(rank='order', name='Alteromonadales'), LineagePair(rank='family', name='Shewanellaceae'))"
6,Bacteria;Cyanobacteria;;Nostocales;Nostocaceae,7288000,7288000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Cyanobacteria'), LineagePair(rank='class', name=''), LineagePair(rank='order', name='Nostocales'), LineagePair(rank='family', name='Nostocaceae'))"
7,Bacteria;Planctomycetes;Planctomycetia;Pirellulales;Pirellulaceae,7039000,7039000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Planctomycetes'), LineagePair(rank='class', name='Planctomycetia'), LineagePair(rank='order', name='Pirellulales'), LineagePair(rank='family', name='Pirellulaceae'))"
8,Bacteria;Chloroflexi;Chloroflexia;Herpetosiphonales;Herpetosiphonaceae,6604000,6604000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chloroflexi'), LineagePair(rank='class', name='Chloroflexia'), LineagePair(rank='order', name='Herpetosiphonales'), LineagePair(rank='family', name='Herpetosiphonaceae'))"
9,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae,6454000,3247000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Deltaproteobacteria'), LineagePair(rank='order', name='Desulfovibrionales'), LineagePair(rank='family', name='Desulfovibrionaceae'))"
10,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae,6383000,2246000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'), LineagePair(rank='class', name='Thermoprotei'), LineagePair(rank='order', name='Thermoproteales'), LineagePair(rank='family', name='Thermoproteaceae'))"
11,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae,5422000,5422000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanomicrobia'), LineagePair(rank='order', name='Methanosarcinales'), LineagePair(rank='family', name='Methanosarcinaceae'))"
