,name,hashes,best_hashes,lineage
0,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,11269000,6323000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Bacteroidetes'), LineagePair(rank='class', name='Bacteroidia'), LineagePair(rank='order', name='Bacteroidales'), LineagePair(rank='family', name='Bacteroidaceae'), LineagePair(rank='genus', name='Bacteroides'))"
1,Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Salinispora,10445000,5638000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Actinobacteria'), LineagePair(rank='class', name='Actinobacteria'), LineagePair(rank='order', name='Micromonosporales'), LineagePair(rank='family', name='Micromonosporaceae'), LineagePair(rank='genus', name='Salinispora'))"
2,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia,9323000,9323000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Burkholderiales'), LineagePair(rank='family', name='Burkholderiaceae'), LineagePair(rank='genus', name='Paraburkholderia'))"
3,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella,7828000,5188000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Gammaproteobacteria'), LineagePair(rank='order', name='Alteromonadales'), LineagePair(rank='family', name='Shewanellaceae'), LineagePair(rank='genus', name='Shewanella'))"
4,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium,7614000,2875000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'), LineagePair(rank='class', name='Chlorobia'), LineagePair(rank='order', name='Chlorobiales'), LineagePair(rank='family', name='Chlorobiaceae'), LineagePair(rank='genus', name='Chlorobium'))"
5,Bacteria;Cyanobacteria;;Nostocales;Nostocaceae;Nostoc,7288000,7288000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Cyanobacteria'), LineagePair(rank='class', name=''), LineagePair(rank='order', name='Nostocales'), LineagePair(rank='family', name='Nostocaceae'), LineagePair(rank='genus', name='Nostoc'))"
6,Bacteria;Planctomycetes;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula,7039000,7039000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Planctomycetes'), LineagePair(rank='class', name='Planctomycetia'), LineagePair(rank='order', name='Pirellulales'), LineagePair(rank='family', name='Pirellulaceae'), LineagePair(rank='genus', name='Rhodopirellula'))"
7,Bacteria;Chloroflexi;Chloroflexia;Herpetosiphonales;Herpetosiphonaceae;Herpetosiphon,6604000,6604000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chloroflexi'), LineagePair(rank='class', name='Chloroflexia'), LineagePair(rank='order', name='Herpetosiphonales'), LineagePair(rank='family', name='Herpetosiphonaceae'), LineagePair(rank='genus', name='Herpetosiphon'))"
8,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,6454000,3247000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Deltaproteobacteria'), LineagePair(rank='order', name='Desulfovibrionales'), LineagePair(rank='family', name='Desulfovibrionaceae'), LineagePair(rank='genus', name='Desulfovibrio'))"
9,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum,6383000,2246000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'), LineagePair(rank='class', name='Thermoprotei'), LineagePair(rank='order', name='Thermoproteales'), LineagePair(rank='family', name='Thermoproteaceae'), LineagePair(rank='genus', name='Pyrobaculum'))"
