,name,hashes,best_hashes,lineage
0,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales,19244000,9323000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Burkholderiales'))"
1,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,13378000,6323000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Bacteroidetes'), LineagePair(rank='class', name='Bacteroidia'), LineagePair(rank='order', name='Bacteroidales'))"
2,Bacteria;Chlorobi;Chlorobia;Chlorobiales,12742000,2963000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'), LineagePair(rank='class', name='Chlorobia'), LineagePair(rank='order', name='Chlorobiales'))"
3,Bacteria;Actinobacteria;Actinobacteria;Micromonosporales,10445000,5638000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Actinobacteria'), LineagePair(rank='class', name='Actinobacteria'), LineagePair(rank='order', name='Micromonosporales'))"
4,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales,10340000,4534000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Alphaproteobacteria'), LineagePair(rank='order', name='Rhodobacterales'))"
5,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,7828000,5188000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Gammaproteobacteria'), LineagePair(rank='order', name='Alteromonadales'))"
6,Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales,7589000,2779000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Thermoanaerobacterales'))"
7,Bacteria;Cyanobacteria;;Nostocales,7288000,7288000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Cyanobacteria'), LineagePair(rank='class', name=''), LineagePair(rank='order', name='Nostocales'))"
8,Bacteria;Planctomycetes;Planctomycetia;Pirellulales,7039000,7039000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Planctomycetes'), LineagePair(rank='class', name='Planctomycetia'), LineagePair(rank='order', name='Pirellulales'))"
9,Bacteria;Chloroflexi;Chloroflexia;Herpetosiphonales,6604000,6604000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chloroflexi'), LineagePair(rank='class', name='Chloroflexia'), LineagePair(rank='order', name='Herpetosiphonales'))"
10,Bacteria;Aquificae;Aquificae;Aquificales,6487000,1997000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'), LineagePair(rank='class', name='Aquificae'), LineagePair(rank='order', name='Aquificales'))"
11,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales,6454000,3247000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Deltaproteobacteria'), LineagePair(rank='order', name='Desulfovibrionales'))"
