,name,hashes,best_hashes,lineage
0,Bacteria;Proteobacteria,54857000,9323000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'))"
1,Archaea;Euryarchaeota,23148000,5422000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'))"
2,Bacteria;Firmicutes,17358000,3655000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'))"
3,Bacteria;Bacteroidetes,13378000,6323000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Bacteroidetes'))"
4,Bacteria;Chlorobi,12742000,2963000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'))"
5,Bacteria;Chloroflexi,11657000,6604000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chloroflexi'))"
6,Bacteria;Actinobacteria,10445000,5638000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Actinobacteria'))"
7,Archaea;Crenarchaeota,10346000,2679000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'))"
8,Bacteria;Cyanobacteria,7483000,7288000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Cyanobacteria'))"
9,Bacteria;Planctomycetes,7039000,7039000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Planctomycetes'))"
10,Bacteria;Aquificae,6487000,1997000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'))"
11,Bacteria;Deinococcus-Thermus,5334000,3206000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Deinococcus-Thermus'))"
12,Bacteria;Gemmatimonadetes,4629000,4629000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Gemmatimonadetes'))"
13,Bacteria;Thermotogae,4257000,1851000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Thermotogae'))"
14,Bacteria;Acidobacteria,4167000,4167000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Acidobacteria'))"
15,Bacteria;Spirochaetes,2848000,2848000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Spirochaetes'))"
16,Bacteria;Verrucomicrobia,2701000,2701000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Verrucomicrobia'))"
17,Bacteria;Fusobacteria,2463000,2463000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Fusobacteria'))"
18,Bacteria;Dictyoglomi,1839000,1839000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Dictyoglomi'))"
19,Archaea;Nanoarchaeota,431000,431000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Nanoarchaeota'))"
