,name,hashes,best_hashes,lineage
0,Paraburkholderia xenovorans (Bacteria),9323000,9323000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Burkholderiales'), LineagePair(rank='family', name='Burkholderiaceae'), LineagePair(rank='genus', name='Paraburkholderia'), LineagePair(rank='species', name='Paraburkholderia xenovorans'))"
1,Shewanella baltica (Bacteria),7828000,5188000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Gammaproteobacteria'), LineagePair(rank='order', name='Alteromonadales'), LineagePair(rank='family', name='Shewanellaceae'), LineagePair(rank='genus', name='Shewanella'), LineagePair(rank='species', name='Shewanella baltica'))"
2,Nostoc sp. PCC 7120 = FACHB-418 (Bacteria),7288000,7288000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Cyanobacteria'), LineagePair(rank='class', name=''), LineagePair(rank='order', name='Nostocales'), LineagePair(rank='family', name='Nostocaceae'), LineagePair(rank='genus', name='Nostoc'), LineagePair(rank='species', name='Nostoc sp. PCC 7120 = FACHB-418'))"
3,Rhodopirellula baltica (Bacteria),7039000,7039000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Planctomycetes'), LineagePair(rank='class', name='Planctomycetia'), LineagePair(rank='order', name='Pirellulales'), LineagePair(rank='family', name='Pirellulaceae'), LineagePair(rank='genus', name='Rhodopirellula'), LineagePair(rank='species', name='Rhodopirellula baltica'))"
4,Herpetosiphon aurantiacus (Bacteria),6604000,6604000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chloroflexi'), LineagePair(rank='class', name='Chloroflexia'), LineagePair(rank='order', name='Herpetosiphonales'), LineagePair(rank='family', name='Herpetosiphonaceae'), LineagePair(rank='genus', name='Herpetosiphon'), LineagePair(rank='species', name='Herpetosiphon aurantiacus'))"
5,Bacteroides thetaiotaomicron (Bacteria),6323000,6323000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Bacteroidetes'), LineagePair(rank='class', name='Bacteroidia'), LineagePair(rank='order', name='Bacteroidales'), LineagePair(rank='family', name='Bacteroidaceae'), LineagePair(rank='genus', name='Bacteroides'), LineagePair(rank='species', name='Bacteroides thetaiotaomicron'))"
6,Salinispora arenicola (Bacteria),5638000,5638000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Actinobacteria'), LineagePair(rank='class', name='Actinobacteria'), LineagePair(rank='order', name='Micromonosporales'), LineagePair(rank='family', name='Micromonosporaceae'), LineagePair(rank='genus', name='Salinispora'), LineagePair(rank='species', name='Salinispora arenicola'))"
7,Methanosarcina acetivorans (Archaea),5422000,5422000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanomicrobia'), LineagePair(rank='order', name='Methanosarcinales'), LineagePair(rank='family', name='Methanosarcinaceae'), LineagePair(rank='genus', name='Methanosarcina'), LineagePair(rank='species', name='Methanosarcina acetivorans'))"
8,Bordetella bronchiseptica (Bacteria),5167000,5167000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Burkholderiales'), LineagePair(rank='family', name='Alcaligenaceae'), LineagePair(rank='genus', name='Bordetella'), LineagePair(rank='species', name='Bordetella bronchiseptica'))"
9,Chloroflexus aurantiacus (Bacteria),5053000,5053000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chloroflexi'), LineagePair(rank='class', name='Chloroflexia'), LineagePair(rank='order', name='Chloroflexales'), LineagePair(rank='family', name='Chloroflexaceae'), LineagePair(rank='genus', name='Chloroflexus'), LineagePair(rank='species', name='Chloroflexus aurantiacus'))"
