,name,hashes,best_hashes,lineage
0,Bacteria;Chloroflexi;Chloroflexia,3368000,1946000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chloroflexi'), LineagePair(rank='class', name='Chloroflexia'))"
1,Bacteria;Firmicutes;Clostridia,2832000,1015000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'))"
2,Bacteria;Proteobacteria;Alphaproteobacteria,2672000,1332000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Alphaproteobacteria'))"
3,Bacteria;Bacteroidetes;Bacteroidia,2106000,1413000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Bacteroidetes'), LineagePair(rank='class', name='Bacteroidia'))"
4,Bacteria;Planctomycetes;Planctomycetia,2010000,2010000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Planctomycetes'), LineagePair(rank='class', name='Planctomycetia'))"
5,Bacteria;Cyanobacteria;,1909000,1909000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Cyanobacteria'), LineagePair(rank='class', name=''))"
6,Archaea;Crenarchaeota;Thermoprotei,1709000,700000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'), LineagePair(rank='class', name='Thermoprotei'))"
7,Bacteria;Gemmatimonadetes;Gemmatimonadetes,1404000,1404000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Gemmatimonadetes'), LineagePair(rank='class', name='Gemmatimonadetes'))"
8,Bacteria;Aquificae;Aquificae,1402000,610000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'), LineagePair(rank='class', name='Aquificae'))"
9,Bacteria;Actinobacteria;Actinobacteria,1219000,1219000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Actinobacteria'), LineagePair(rank='class', name='Actinobacteria'))"
