,name,hashes,best_hashes,lineage
0,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,2176000,1332000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Alphaproteobacteria'), LineagePair(rank='order', name='Rhodobacterales'), LineagePair(rank='family', name='Rhodobacteraceae'))"
1,Bacteria;Planctomycetes;Planctomycetia;Pirellulales;Pirellulaceae,2010000,2010000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Planctomycetes'), LineagePair(rank='class', name='Planctomycetia'), LineagePair(rank='order', name='Pirellulales'), LineagePair(rank='family', name='Pirellulaceae'))"
2,Bacteria;Chloroflexi;Chloroflexia;Herpetosiphonales;Herpetosiphonaceae,1946000,1946000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chloroflexi'), LineagePair(rank='class', name='Chloroflexia'), LineagePair(rank='order', name='Herpetosiphonales'), LineagePair(rank='family', name='Herpetosiphonaceae'))"
3,Bacteria;Cyanobacteria;;Nostocales;Nostocaceae,1909000,1909000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Cyanobacteria'), LineagePair(rank='class', name=''), LineagePair(rank='order', name='Nostocales'), LineagePair(rank='family', name='Nostocaceae'))"
4,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae,1541000,1413000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Bacteroidetes'), LineagePair(rank='class', name='Bacteroidia'), LineagePair(rank='order', name='Bacteroidales'), LineagePair(rank='family', name='Bacteroidaceae'))"
5,Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae,1422000,1422000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chloroflexi'), LineagePair(rank='class', name='Chloroflexia'), LineagePair(rank='order', name='Chloroflexales'), LineagePair(rank='family', name='Chloroflexaceae'))"
6,Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae,1404000,1404000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Gemmatimonadetes'), LineagePair(rank='class', name='Gemmatimonadetes'), LineagePair(rank='order', name='Gemmatimonadales'), LineagePair(rank='family', name='Gemmatimonadaceae'))"
7,Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae,1219000,1219000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Actinobacteria'), LineagePair(rank='class', name='Actinobacteria'), LineagePair(rank='order', name='Micromonosporales'), LineagePair(rank='family', name='Micromonosporaceae'))"
8,Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae,1190000,1190000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Acidobacteria'), LineagePair(rank='class', name='Acidobacteriia'), LineagePair(rank='order', name='Acidobacteriales'), LineagePair(rank='family', name='Acidobacteriaceae'))"
9,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae,1162000,624000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'), LineagePair(rank='class', name='Chlorobia'), LineagePair(rank='order', name='Chlorobiales'), LineagePair(rank='family', name='Chlorobiaceae'))"
10,Bacteria;Aquificae;Aquificae;Aquificales;Hydrogenothermaceae,1107000,610000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'), LineagePair(rank='class', name='Aquificae'), LineagePair(rank='order', name='Aquificales'), LineagePair(rank='family', name='Hydrogenothermaceae'))"
11,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae,1099000,1099000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Deltaproteobacteria'), LineagePair(rank='order', name='Desulfuromonadales'), LineagePair(rank='family', name='Geobacteraceae'))"
12,Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae,1065000,1065000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Halobacteria'), LineagePair(rank='order', name='Haloferacales'), LineagePair(rank='family', name='Haloferacaceae'))"
13,Bacteria;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae,1015000,1015000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Clostridiales'), LineagePair(rank='family', name='Hungateiclostridiaceae'))"
14,Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae,908000,908000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Spirochaetes'), LineagePair(rank='class', name='Spirochaetia'), LineagePair(rank='order', name='Spirochaetales'), LineagePair(rank='family', name='Spirochaetaceae'))"
15,Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae,857000,857000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Deinococcus-Thermus'), LineagePair(rank='class', name='Deinococci'), LineagePair(rank='order', name='Deinococcales'), LineagePair(rank='family', name='Deinococcaceae'))"
16,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae,828000,828000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Verrucomicrobia'), LineagePair(rank='class', name='Verrucomicrobiae'), LineagePair(rank='order', name='Verrucomicrobiales'), LineagePair(rank='family', name='Akkermansiaceae'))"
17,Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacterales Family III. Incertae Sedis,734000,734000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Thermoanaerobacterales'), LineagePair(rank='family', name='Thermoanaerobacterales Family III. Incertae Sedis'))"
18,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae,700000,700000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'), LineagePair(rank='class', name='Thermoprotei'), LineagePair(rank='order', name='Sulfolobales'), LineagePair(rank='family', name='Sulfolobaceae'))"
19,Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae,647000,647000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Bacilli'), LineagePair(rank='order', name='Lactobacillales'), LineagePair(rank='family', name='Enterococcaceae'))"
