,name,hashes,best_hashes,lineage
0,Bacteria;Proteobacteria,5519000,1332000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'))"
1,Bacteria;Firmicutes,3479000,1015000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'))"
2,Archaea;Euryarchaeota,3463000,1065000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'))"
3,Bacteria;Chloroflexi,3368000,1946000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chloroflexi'))"
4,Bacteria;Bacteroidetes,2106000,1413000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Bacteroidetes'))"
5,Bacteria;Planctomycetes,2010000,2010000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Planctomycetes'))"
6,Bacteria;Cyanobacteria,1909000,1909000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Cyanobacteria'))"
7,Archaea;Crenarchaeota,1709000,700000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'))"
8,Bacteria;Gemmatimonadetes,1404000,1404000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Gemmatimonadetes'))"
9,Bacteria;Aquificae,1402000,610000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'))"
10,Bacteria;Actinobacteria,1219000,1219000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Actinobacteria'))"
11,Bacteria;Acidobacteria,1190000,1190000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Acidobacteria'))"
12,Bacteria;Chlorobi,1162000,624000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'))"
13,Bacteria;Deinococcus-Thermus,972000,857000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Deinococcus-Thermus'))"
14,Bacteria;Spirochaetes,908000,908000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Spirochaetes'))"
15,Bacteria;Verrucomicrobia,828000,828000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Verrucomicrobia'))"
16,Bacteria;Dictyoglomi,558000,558000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Dictyoglomi'))"
17,Bacteria;Thermotogae,504000,504000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Thermotogae'))"
18,Bacteria;Fusobacteria,278000,278000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Fusobacteria'))"
19,Archaea;Nanoarchaeota,125000,125000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Nanoarchaeota'))"
